tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.85,0.4,0.9,0.1,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.9,0.15,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.9,0.2,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.1,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.15,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.2,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.8,0.1,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.8,0.15,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.8,0.2,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.1,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.15,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.2,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.7,0.1,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.7,0.15,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.7,0.2,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.1,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.15,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.2,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.9,0.1,0.8,986,0.05474128358871863,0.9939148073022313
0.85,0.4,0.9,0.15,0.8,986,0.05474128358871863,0.9939148073022313
0.85,0.4,0.9,0.2,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.1,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.15,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.2,0.8,986,0.05474128358871863,0.9939148073022313
