tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.85,0.3,0.7,0.1,1.0,9667,0.536697757050855,0.9988621082031655
0.85,0.3,0.7,0.15,1.0,9667,0.536697757050855,0.9988621082031655
0.85,0.3,0.7,0.2,1.0,9667,0.536697757050855,0.9988621082031655
0.9,0.3,0.7,0.1,1.0,9667,0.536697757050855,0.9988621082031655
0.9,0.3,0.7,0.15,1.0,9667,0.536697757050855,0.9988621082031655
0.9,0.3,0.7,0.2,1.0,9667,0.536697757050855,0.9988621082031655
0.85,0.3,0.8,0.1,1.0,9665,0.5365867199644682,0.9988618727366787
0.85,0.3,0.8,0.15,1.0,9665,0.5365867199644682,0.9988618727366787
0.85,0.3,0.8,0.2,1.0,9665,0.5365867199644682,0.9988618727366787
0.9,0.3,0.8,0.1,1.0,9665,0.5365867199644682,0.9988618727366787
0.9,0.3,0.8,0.15,1.0,9665,0.5365867199644682,0.9988618727366787
0.9,0.3,0.8,0.2,1.0,9665,0.5365867199644682,0.9988618727366787
0.95,0.3,0.7,0.1,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.3,0.7,0.15,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.3,0.7,0.2,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.4,0.7,0.1,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.4,0.7,0.15,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.4,0.7,0.2,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.6,0.7,0.1,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.6,0.7,0.15,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.6,0.7,0.2,1.0,9495,0.5271485676215856,0.99884149552396
0.95,0.3,0.8,0.1,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.3,0.8,0.15,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.3,0.8,0.2,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.4,0.8,0.1,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.4,0.8,0.15,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.4,0.8,0.2,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.6,0.8,0.1,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.6,0.8,0.15,1.0,9494,0.5270930490783922,0.998841373499052
0.95,0.6,0.8,0.2,1.0,9494,0.5270930490783922,0.998841373499052
